		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101010    3    0    4    4    1    3    2    2  5.887121 0.659874 SUCCESS 110
110101100    1    0    0    1    1    2    3    1  8.647577 0.372892 SUCCESS 111
110110000    3    0    4    3    3    3    2    5  6.986007 0.538143 SUCCESS 112
110110010    5    8    1    0    5    0    5    2 27.510691 0.000577 FAILURE 113
110110100    1    3    2    2    4    0    4    1  6.608679 0.579380 SUCCESS 114
110111000    3    2    1    5    3    1    4    2  6.012897 0.645787 SUCCESS 115
110111010    1    1    3    2    4    5    1    1  7.518901 0.481816 SUCCESS 116
110111100    3    2    2    4    5    4    1    3  6.201561 0.624665 SUCCESS 117
111000000    6    6    0    4    2    2    2    2 14.674903 0.065784 SUCCESS 118
111000010    4    3    1    2    3    1    4    1  5.039787 0.753315 SUCCESS 119
111000100    6    0    2    1    1    3    3    3 10.123792 0.256445 SUCCESS 120
111000110    2    3    8    3    1    1    0    2 17.812687 0.022675 SUCCESS 121
111001000    3    4    2    1    4    2    3    3  3.533783 0.896552 SUCCESS 122
111001010    2    0    3    1    2    1    5    3  7.456013 0.488323 SUCCESS 123
111001100    2    5    3    4    7    2    2    2 13.168899 0.106169 SUCCESS 124
111010000    1    3    2    2    3    3    0    2  4.003788 0.856782 SUCCESS 125
111010010    1    1    1    3    0    3    4    4  7.456013 0.488323 SUCCESS 126
111010100    1    1    2    4    6    1    2    2  9.276457 0.319514 SUCCESS 127
111010110    5    1    0    1    2    3    4    2  8.366235 0.398537 SUCCESS 128
111011000    3    0    2    1    2    4    2    7 13.638904 0.091676 SUCCESS 129
111011010    1    2    3    3    2    0    4    2  4.914011 0.766726 SUCCESS 130
111011100    4    3    3    5    3    1    3    3  5.417115 0.712205 SUCCESS 131
111100000    4    2    2    5    3    3    3    3  4.569781 0.802412 SUCCESS 132
111100010    5    2    4    1    1    2    1    1  7.456013 0.488323 SUCCESS 133
111100100    2    4    2    2    4    4    0    4  6.923119 0.544950 SUCCESS 134
111100110    2    6    3    3    4    2    1    4  8.806452 0.358886 SUCCESS 135
111101000    2    2    2    4    3    1    3    2  2.497784 0.961834 SUCCESS 136
111101010    3    1    2    5    4    4    2    0  8.554899 0.381222 SUCCESS 137
111101100    3    2    2    1    2    2    3    5  4.255341 0.833382 SUCCESS 138
111101110    3    1    4    3    3    4    3    4  4.569781 0.802412 SUCCESS 139
111110000    3    2    3    3    4    3    7    5 13.357563 0.100125 SUCCESS 140
111110010    0    4    3    1    0    4    2    4  9.213569 0.324601 SUCCESS 141
111110100    2    1    2    4    0    4    1    4  7.518901 0.481816 SUCCESS 142
111110110    2    1    2    4    3    0    2    3  4.914011 0.766726 SUCCESS 143
111111000    2    3    3    1    2    1    3    4  3.345118 0.910872 SUCCESS 144
111111010    2    0    3    5    1    3    1    3  7.518901 0.481816 SUCCESS 145
111111100    0    6    3    0    2    1    2    3 11.692684 0.165451 SUCCESS 146
111111110    1    4    6    4    2    2    0    3 11.159790 0.192809 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    2    6    1    5    2    1    3 10.375344 0.239663 SUCCESS   0
000000011    3    2    2    2    2    2    0    3  3.156454 0.924159 SUCCESS   1
000000101    2    4    2    4    4    0    3    6 11.348454 0.182726 SUCCESS   2
000000111    1    3    3    4    2    4    3    4  4.506893 0.808743 SUCCESS   3
000001001    3    3    4    0    3    5    2    1  7.707565 0.462545 SUCCESS   4
000001011    3    2    3    4    3    0    3    5  6.986007 0.538143 SUCCESS   5
000001101    0    3    2    4    3    4    5    1  8.617787 0.375557 SUCCESS   6
000001111    2    4    3    5    2    3    3    2  4.506893 0.808743 SUCCESS   7
000010001    3    2    5    3    1    2    3    4  5.291339 0.726032 SUCCESS   8
000010011    2    4    2    3    1    3    2    1  3.282230 0.915418 SUCCESS   9
000010101    2    2    2    1    6    2    1    3  7.581789 0.475349 SUCCESS  10
000010111    4    3    5    3    2    2    2    4  5.417115 0.712205 SUCCESS  11
000011001    4    0    3    0    1    1    5    3 10.845349 0.210617 SUCCESS  12
000011011    0    3    3    1    3    4    0    0  9.809351 0.278663 SUCCESS  13
000011101    2    0    1    3    1    3    3    3  4.851122 0.773363 SUCCESS  14
000011111    3    5    1    3    2    3    1    3  5.165563 0.739743 SUCCESS  15
000100011    2    2    6    1    2    3    1    4  8.554899 0.381222 SUCCESS  16
000100101    0    1    0    3    3    3    2    4  7.393125 0.494871 SUCCESS  17
000100111    3    3    1    2    3    2    3    0  4.066676 0.851058 SUCCESS  18
000101001    4    2    2    2    3    3    4    2  2.686448 0.952469 SUCCESS  19
000101011    4    7    0    2    3    1    1    4 15.396461 0.051880 SUCCESS  20
000101101    1    2    3    5    3    3    4    3  5.354227 0.719131 SUCCESS  21
000101111    4    5    4    2    1    3    5    2  8.869340 0.353438 SUCCESS  22
000110011    2    2    4    2    1    0    2    2  4.788234 0.779952 SUCCESS  23
000110101    1    2    0    4    2    2    3    1  5.635568 0.687978 SUCCESS  24
000110111    0    2    6    3    5    4    0    0 16.965353 0.030472 SUCCESS  25
000111001    1    1    4    1    1    3    5    4  8.492011 0.386941 SUCCESS  26
000111011    3    3    1    1    3    3    3    1  3.282230 0.915418 SUCCESS  27
000111101    3    2    1    3    5    2    1    5  7.770453 0.456208 SUCCESS  28
000111111    1    7    1    4    2    2    2    2 11.944236 0.153709 SUCCESS  29
001000011    5    1    0    0    2    2    2    2  8.962017 0.345510 SUCCESS  30
001000101    4    2    2    6    2    3    3    2  7.048895 0.531367 SUCCESS  31
001000111    1    2    4    1    4    3    0    4  7.581789 0.475349 SUCCESS  32
001001011    2    2    2    4    1    1    1    2  3.940900 0.862416 SUCCESS  33
001001101    2    2    2    2    0    2    4    2  4.003788 0.856782 SUCCESS  34
001001111    4    4    2    2    1    4    2    1  5.102675 0.746548 SUCCESS  35
001010011    2    3    1    1    3    3    1    3  3.219342 0.919848 SUCCESS  36
001010101    0    2    5    3    3    2    3    0  8.366235 0.398537 SUCCESS  37
001010111    3    4    0    1    1    1    3    2  6.482903 0.593305 SUCCESS  38
001011011    0    1    2    3    2    3    4    3  4.976899 0.760042 SUCCESS  39
001011101    2    2    7    1    2    3    1    3 11.096902 0.196269 SUCCESS  40
001011111    3    5    4    5    2    2    4    0 10.501120 0.231599 SUCCESS  41
001100101    2    0    3    3    0    0    4    3  9.024905 0.340199 SUCCESS  42
001100111    0    2    3    2    1    0    4    4  8.240459 0.410341 SUCCESS  43
001101011    1    2    1    5    2    4    3    2  5.950009 0.652832 SUCCESS  44
001101101    1    4    3    2    1    2    4    1  4.976899 0.760042 SUCCESS  45
001101111    2    2    4    3    4    3    2    2  2.686448 0.952469 SUCCESS  46
001110101    2    4    1    3    5    3    2    3  5.291339 0.726032 SUCCESS  47
001110111    3    3    2    1    1    1    4    2  4.066676 0.851058 SUCCESS  48
001111011    3    2    4    5    4    2    2    4  6.327337 0.610616 SUCCESS  49
001111101    2    1    3    1    1    4    2    2  4.003788 0.856782 SUCCESS  50
001111111    2    5    2    2    4    2    5    2  7.048895 0.531367 SUCCESS  51
010000011    2    3    1    3    2    3    1    0  4.788234 0.779952 SUCCESS  52
010000111    2    2    0    1    4    1    4    2  6.545791 0.586333 SUCCESS  53
010001011    3    3    2    1    2    3    4    4  3.533783 0.896552 SUCCESS  54
010001111    2    3    3    4    3    4    0    4  6.138673 0.631702 SUCCESS  55
010010011    3    2    3    1    1    3    3    1  3.219342 0.919848 SUCCESS  56
010010111    3    1    4    5    1    3    1    0  9.213569 0.324601 SUCCESS  57
010011011    1    2    0    1    2    1    3    2  5.446904 0.708915 SUCCESS  58
010011111    5    3    1    1    1    7    4    1 16.306683 0.038195 SUCCESS  59
010100011    4    2    0    5    2    2    0    1  9.935127 0.269609 SUCCESS  60
010100111    1    5    1    1    0    2    3    1  8.962017 0.345510 SUCCESS  61
010101011    2    2    3    2    2    3    4    1  2.497784 0.961834 SUCCESS  62
010101111    3    3    2    2    2    0    2    1  3.940900 0.862416 SUCCESS  63
010110011    4    3    3    2    2    3    5    4  5.480003 0.705254 SUCCESS  64
010110111    1    3    1    3    2    3    4    3  3.408006 0.906211 SUCCESS  65
010111011    0    4    5    1    0    3    1    0 13.198688 0.105194 SUCCESS  66
010111111    3    2    3    4    0    2    6    1 10.249568 0.247945 SUCCESS  67
011000111    5    1    4    4    5    1    1    1 11.159790 0.192809 SUCCESS  68
011001111    0    0    4    3    1    1    6    3 13.450240 0.097269 SUCCESS  69
011010111    2    0    2    4    3    4    4    2  6.012897 0.645787 SUCCESS  70
011011111    2    2    4    2    5    3    3    0  6.860231 0.551785 SUCCESS  71
011101111    1    2    5    2    2    0    3    3  6.671567 0.572447 SUCCESS  72
011111111    3    5    3    2    1    4    5    2  7.959118 0.437474 SUCCESS  73
100000000    3    2    6    1    5    2    1    3 10.375344 0.239663 SUCCESS  74
100010000    2    1    3    2    1    2    5    4  5.950009 0.652832 SUCCESS  75
100100000    3    3    4    2    2    4    2    1  3.470895 0.901437 SUCCESS  76
100101000    3    0    1    3    4    1    1    3  6.545791 0.586333 SUCCESS  77
100110000    4    1    3    4    3    4    3    4  5.480003 0.705254 SUCCESS  78
100111000    1    4    2    1    5    3    4    2  6.923119 0.544950 SUCCESS  79
101000000    5    3    4    5    2    6    2    5 15.178007 0.055775 SUCCESS  80
101000100    2    0    3    3    3    5    2    2  5.950009 0.652832 SUCCESS  81
101001000    0    0    0    4    4    2    2    3  9.872239 0.274108 SUCCESS  82
101001100    3    2    1    3    2    2    3    6  6.923119 0.544950 SUCCESS  83
101010000    2    3    0    0    0    2    1    2  8.710465 0.367306 SUCCESS  84
101010100    2    5    1    3    3    2    2    3  4.318229 0.827331 SUCCESS  85
101011000    0    1    2    1    5    4    3    0 10.782461 0.214332 SUCCESS  86
101011100    5    2    0    6    4    2    2    6 17.405569 0.026152 SUCCESS  87
101100000    2    4    0    1    3    2    3    2  4.914011 0.766726 SUCCESS  88
101100100    2    3    2    4    2    3    1    2  2.497784 0.961834 SUCCESS  89
101101000    1    1    6    3    4    2    3    6 13.953345 0.082990 SUCCESS  90
101101100    2    3    3    2    2    0    3    2  3.219342 0.919848 SUCCESS  91
101110000    3    3    3    2    1    4    2    1  3.345118 0.910872 SUCCESS  92
101110100    3    1    2    2    3    4    6    5 10.564008 0.227647 SUCCESS  93
101111000    2    2    2    1    2    0    2    6  9.150681 0.329745 SUCCESS  94
101111100    1    5    4    4    7    1    1    1 17.216905 0.027928 SUCCESS  95
110000000    2    1    4    2    2    2    2    5  5.102675 0.746548 SUCCESS  96
110000010    5    1    2    2    3    3    1    1  5.824233 0.666913 SUCCESS  97
110000100    2    4    2    5    2    1    0    1  8.303347 0.404413 SUCCESS  98
110001000    3    3    3    1    2    2    5    3  4.381117 0.821206 SUCCESS  99
110001010    1    5    1    3    2    3    1    1  6.608679 0.579380 SUCCESS 100
110010000    3    3    3    2    1    4    4    1  4.318229 0.827331 SUCCESS 101
110010010    4    2    2    5    1    0    3    1  8.366235 0.398537 SUCCESS 102
110010100    3    0    0    3    2    1    2    2  6.357126 0.607295 SUCCESS 103
110011000    2    4    2    2    3    2    4    4  3.596671 0.891559 SUCCESS 104
110011010    4    5    1    3    4    7    1    2 15.710901 0.046710 SUCCESS 105
110100000    6    3    3    2    3    2    3    2  6.201561 0.624665 SUCCESS 106
110100010    3    1    4    1    0    2    3    3  5.761345 0.673945 SUCCESS 107
110100100    1    2    0    3    1    2    2    3  4.725346 0.786488 SUCCESS 108
110101000    2    3    0    0    2    3    0    0 10.405133 0.237734 SUCCESS 109
110101010    4    5    0    2    2    3    3    4  7.833341 0.449917 SUCCESS 110
